TRANSFORMADOR;MACRO;MARCA_CONFIABLE;FRANJA;ETIQUETA;ESTADO_TRAFO;UBICACION;SUBESTACION;CELDA;PERIODO;KVA;MUNICIPIO;CANT_USU;ENERGIAENTRADA;ENERGIASALIDA;ENERGIAENTRADAGEN;CONSUMO_AP;CONSUMO_OTROS;PERDIDAS;IP;PERXUSU;CLIENTES_FACTOR;CLIENTES_OC;CLIENTES_PREPAGOS;CLIENTES_AUTOGENERADORES;CLIENTES_NIVEL>1;CANT_REV;BAL_MANUAL;BALANCECONFIABLE;BALANCEDEFINITIVO;BALANCECRITICADO;REGLA_APLICADA;MATRIZ;COORDENADA_X;COORDENADA_Y;ZONA;GRUPO;PERIOCIDAD;CUADRANTES;NIVEL_DE_TENSION;REGIONALES;GRUP_UBICA;CUAD_UBICA;PERIODO_INICIO;PERIODO_FIN;FILTRO_DESCART;CONSTANTE;RAMAL;ENTRADA_AJUSTADA;PERDIDAS_AJUSTADAS;IP_AJUSTADO;ENERGIASALIDAGEN;RANGO_DE_IP;IP_CALCULADO;RANGO_PERDIDAS;TRAFO_PERIODO;USU_SALEN;USU_NUEVOS;TRAFOS PRIORIZADOS.TRAFO;CANT_USU_TOTAL;CONSUMO_ADICIONAL;KVA_MENOR_15;IP_EFICIENTE_N1;PRIORIDAD;FECHA_INST_MED_MACRO;PERIODO NUM;AÑOS_MES_INSTALA;Aun_Mantener_Despues_Instalacion;Etiqueta_fin;BARRIO;VALIDAR_MI;VALIDAR_AGPE;TRAFOS_CONJUNTOS.TRAFO;VAL_CONJUNTOS;Revisiones_;etiqueta1;etiqueta2;red_abierta;etiqueta3;etiqueta4;etiqueta5;etiqueta6;etiqueta7;perdidas_no_tec;perdidas_total_gw;franja_fin;COLUMNA_FIN;DIRECCION;MARCA_MED;MODELO_MED;NUMERO_MED;SENTIDO_MED;AÑO_MED;RED_TRENZADA;period1;FLAG_Mantener_Venia_BuenoReduccion;FLAG_Ultimo_Periodo_BUENO;Transformadores_Mantener_BuenoReduccion;Acum_12_Perdidas;Acum_12_Entrada;Acum_12_Salida
1T00671;800537;BUENO;IP BAJO;61 - Autogenerador;Activo;Urbano;ATALAYA;ATAC87;202607;75;San José De Cúcuta;99;21.111;20.171;2711,06;257,04;0;940;4,45%;9,5;0;0;1;2;0;0;N;S;S;NO APLICO REGLA;;NA;-72,52827195;7,90659484;1;A;Mensual;1;1;CUCUTA;CUAD 1-2-3-20;CUAD 1 - ATALAYA;202508;202607;Cumple;1;CENSATAC87-1ATAC87_F;21111;940;4,45%;;  0%-5%;4,50%;  500-1000;1T00671202607;0;0;;99;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;ATALAYA I ETAPA;SIN_MI;SOLO_AGPE;;NO;2;validar;validar;1,38;validar;validar;validar;validar;validar;0;0,00094004;IP BAJO;IP BAJO;MNZ  L2  LOTE 14-M  B/ATALAYA;HEX;HXE34K CT;18997766;Unidireccional;18;TRENZADO;202607;0;;0;16824,93;268308,62;251483,69
1T13556;1125359;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC51;202607;75;San José De Cúcuta;68;21.821;19.805;1220,82;367,2;0;2.016;9,24%;29,6;0;0;0;3;0;0;N;S;S;NO APLICO REGLA;;NA;-72,49303285;7,89512192;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;40;CENSSANC51-1SANC51_F;21821;2016;9,24%;;  5%-10%;9,20%; 2000-3000;1T13556202607;0;0;;68;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;QUINTA ORIENTAL;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0,001;0,00201562;Reduccion;Reduccion;SAYAGO POPULAR;HEX;HXE34K CT;23909541;Unidireccional;22;TRENZADO;202607;0;;0;22832,23;260275,43;237443,2
1T13351;1088789;BUENO;CONTROL;No Tiene Etiqueta;Activo;Rural;INSULA;INSC92;202607;75;San José De Cúcuta;2;1.622;1.502;122,18;0;0;120;7,41%;60,1;0;0;0;2;0;0;N;S;S;NO APLICO REGLA;;NA;-72,50424099;7,96343014;1;A;Mensual;2;1;CUCUTA;CUAD 1-2-3-20;CAUD 2 - SEVILLA - INSULA;202508;202607;Cumple;1;CENSINSC92EC_1-INSC92_1057154_MOLINOS;1622;120;7,40%;;  5%-10%;7,40%;   0-500;1T13351202607;0;0;;2;0;CUMPLE;9,12%;2>=40kwh;;202607;;No;Validar;EL SALADO;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;0,00012018;Reduccion;Reduccion;LOT 2 CORREGIMIENTO EL SALADO;HEX;HXE34K CT;21457977;Unidireccional;21;TRENZADO;202607;0;;0;17,18;19322,18;19305
1T13259;1098205;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC52;202607;75;San José De Cúcuta;36;8.279;8.103;639,22;210,24;0;176;2,13%;4,9;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo -1);NA;-72,49055661;7,90041422;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSANC52-1SANC52_F;8279;176;2,13%;;  0%-5%;2,10%;   0-500;1T13259202607;0;0;;36;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;GUAIMARAL;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0,25;validar;validar;validar;validar;validar;0;0,00017598;IP BAJO;IP BAJO;CLL 2N GUAIMARAL;HEX;HXE34K CT;21458049;Unidireccional;21;TRENZADO;202607;0;;0;11961,34;98479,22;86517,88
1T13227;1086701;BUENO;REDUCCION;No Tiene Etiqueta;Activo;Urbano;BELEN;BELC28;202607;75;San José De Cúcuta;4;7.909;5.906;1829,36;0;0;2.003;25,33%;500,8;2;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,50433852;7,8805467;1;A;Mensual;3;1;CUCUTA;CUAD 1-2-3-20;CUAD 3 - BELEN;202508;202607;Cumple;40;CENSBELC28-1BELC28_F;7909;2003;25,33%;; 10%-30%;25,30%; 2000-3000;1T13227202607;0;0;;4;0;CUMPLE;9,12%;1>=100kwh;;202607;;No;Validar;PARAMO;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0,002;0,00200336;Reduccion;Reduccion;CLL 16 EL PARAMO;HEX;HXE34K CT;21457641;Unidireccional;21;TRENZADO;202607;0;;0;13362,82;88103,82;74741
1T13138;1068399;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC52;202607;113;San José De Cúcuta;24;8.217;8.146;177,06;0;0;71;0,86%;3;1;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,48872248;7,89268879;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;60;CENSSANC52-1SANC52_F;8217;71;0,86%;;  0%-5%;0,90%;   0-500;1T13138202607;0;0;;24;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;COLSAG;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;7,11E-05;IP BAJO;IP BAJO;CLL 11 N7-45 COLSAG;HEX;HXE34K CT;20369268;Unidireccional;20;TRENZADO;202607;0;;0;513,25;83519,25;83006
1T13086;1071489;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SANMATEO;SANC46;202607;113;San José De Cúcuta;19;27.241;26.743;361,23;306;0;498;1,83%;26,2;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,4940031;7,88242284;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;60;CENSSANC46-1SANC46_F;27241;498;1,83%;;  0%-5%;1,80%;   0-500;1T13086202607;0;0;;19;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;CAOBOS;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;0,00049823;IP BAJO;IP BAJO;CLL 16 B.CAOBOS;HEX;HXE34K CT;20368670;Unidireccional;18;TRENZADO;202607;0;;0;4393,95;286759,95;282366
1T12912;1087475;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;BELEN;BELC27;202607;113;San José De Cúcuta;54;20.744;19.749;1304,38;198;0;995;4,80%;18,4;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;;NA;-72,511613;7,886415;1;A;Mensual;3;1;CUCUTA;CUAD 1-2-3-20;CUAD 3 - BELEN;202508;202607;Cumple;1;CENSBELC27-1BELC27_F;20744;995;4,80%;;  0%-5%;4,80%;  500-1000;1T12912202607;0;0;;54;0;CUMPLE;9,12%;3A>=15kwh;;202607;;No;Validar;EL LLANO;SIN_MI;SOLO_AGPE;;NO;1;validar;validar;0,52;validar;validar;validar;validar;validar;0;0,00099538;IP BAJO;IP BAJO;CLL 9 12-14 EL LLANO;HEX;HXE34K CT;18997892;Unidireccional;18;TRENZADO;202607;0;;0;12006,01;269535,01;257529
1T12097;1015543;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC3;202607;45;San José De Cúcuta;5;5.433;5.317;133,07;0;0;116;2,14%;23,2;0;0;0;1;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo 0);NA;-72,50406554;7,92295444;1;A;Mensual;2;1;CUCUTA;CUAD 1-2-3-20;CAUD 2 - SEVILLA - INSULA;202508;202607;Cumple;1;CENSSEVC3-1SEVC3_F;5433;116;2,14%;;  0%-5%;2,10%;   0-500;1T12097202607;0;0;;5;0;CUMPLE;9,12%;3>=20kwh;;202607;;No;Validar;LA INSULA;SIN_MI;SOLO_AGPE;;NO;;validar;validar;0;validar;validar;validar;validar;validar;0;0,00011607;IP BAJO;IP BAJO;7A-152 LTE 1A BARRIO LA INSULA VARIANTE EL AEROPUE;HEX;HXE34K CT;18282383;Unidireccional;18;TRENZADO;202607;0;;0;2259,25;58277,25;56018
1T10870;567705;BUENO;IP BAJO;No Tiene Etiqueta;Activo;Urbano;SEVILLA;SEVC17;202607;75;San José De Cúcuta;34;16.162;15.888;1282,2;151,92;0;274;1,70%;8,1;0;0;0;2;0;0;N;S;S;NO APLICO REGLA;Recuperacion de energia de algun cliente (Periodo -1);NA;-72,503977;7,892823;1;A;Mensual;20;1;CUCUTA;CUAD 1-2-3-20;CAUD 20 - SEVILLA - SANMATEO;202508;202607;Cumple;1;CENSSEVC17-1SEVC17_F;16162;274;1,70%;;  0%-5%;1,70%;   0-500;1T10870202607;0;0;;34;0;CUMPLE;9,12%;4A<15kwh;;202607;;No;Validar;LATINO;SIN_MI;SOLO_AGPE;;NO;3;validar;validar;0;validar;validar;validar;validar;validar;0;0,00027428;IP BAJO;IP BAJO;AVE 4  4-50 LATINO;HEX;HXE34K CT;23909001;Unidireccional;22;TRENZADO;202607;0;;0;4851,93;177905,97;173054,04
